WELL_ID,GOA_WELL_ID,WELL_GIC_ID,WELL_GIC_ID_TEXT,LATTITUDE,LONGITUDE,LSD,SECTION,QTR,TOWNSHIP,RANGE,MERIDIAN,YEAR_WELL_DRILLED,YEAR_WELL_DRILLED_TEXT,WELL_LOCATION,LEGAL_LAND_LOCATION,ELEVATION,ELEVATION_UNITS,CREATE_TIMESTAMP,CREATE_USERID
4430,,225751,,51.65268,-113.214884,5,16,SW,31,23,4,,,,5-16-031-23-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4431,,225858,,51.670333,-113.217333,5,21,SW,31,23,4,,,,5-21-031-23-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4433,,226334,,51.719138,-113.098194,13,5,NW,32,22,4,,,,13-05-032-22-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4434,,226534,,51.736774,-113.261395,4,18,SW,32,23,4,,,,4-18-032-23-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4435,,226572,,51.754473,-113.211679,4,21,SW,32,23,4,,,,4-21-032-23-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4436,,226681,,51.808466,-113.218466,16,5,NE,33,23,4,,,,16-05-033-23-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4437,,227085,,51.723609,-113.056137,1,9,SE,32,22,4,,,,1-09-032-22-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4438,,227104,,51.7953,-113.316283,1,3,SE,33,24,4,,,,1-03-033-24-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4440,,227139,,51.737233,-113.096599,4,17,SW,32,22,4,,,,4-17-032-22-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4441,,227452,,51.764674,-113.223177,16,20,NE,32,23,4,,,,16-20-032-23-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4442,,227503,,51.767749,-113.242383,1,30,SE,32,23,4,,,,1-30-032-23-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4443,,227504,,51.790002,-113.243142,9,31,NE,32,23,4,,,,9-31-032-23-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4444,,,,51.882902,-113.248837,2,6,SE,34,23,4,,,,2-06-034-23-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4445,,227841,,51.564406,-113.734366,1,16,SE,30,27,4,,,,1-16-030-27-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4447,,228111,,51.7939,-113.305483,14,35,NW,32,24,4,,,,14-35-032-24-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4448,,228479,,51.781433,-113.7356,4,35,SW,32,27,4,,,,4-35-032-27-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4449,,229543,,51.669508,-113.73617,5,23,SW,31,27,4,,,,5-23-031-27-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4450,,229563,,51.649298,-113.275682,2,13,SE,31,24,4,,,,2-13-031-24-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4451,,230440,,52.521696,-112.867985,15,7,NE,41,20,4,,,,15-07-041-20-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4452,,230442,,52.518111,-112.859166,13,8,NW,41,20,4,,,,13-08-041-20-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4453,,230607,,52.549596,-112.840601,16,20,NE,41,20,4,,,,16-20-041-20-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4454,,230626,,52.565083,-112.812066,16,28,NE,41,20,4,,,,16-28-041-20-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4456,,230679,,52.566697,-112.8083,4,34,SW,41,20,4,,,,4-34-041-20-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4457,,230747,,52.517928,-113.00279,13,8,NW,41,21,4,,,,13-08-041-21-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4458,,230760,,52.514228,-112.967539,10,9,NE,41,21,4,,,,10-09-041-21-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4460,,230811,,52.523311,-113.010507,2,18,SE,41,21,4,,,,2-18-041-21-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4461,,230815,,52.52411,-113.01085,2,18,SE,41,21,4,,,,2-18-041-21-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4462,,230959,,52.596597,-112.788633,1,10,SE,42,20,4,,,,1-10-042-20-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4463,,230965,,52.531395,-113.009491,9,18,NE,41,21,4,,,,9-18-041-21-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4464,,230994,,52.540195,-112.957506,8,21,SE,41,21,4,,,,8-21-041-21-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4465,,231000,,52.540278,-112.956572,8,21,SE,41,21,4,,,,8-21-041-21-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4466,,231177,,52.550777,-113.016277,3,30,SW,41,21,4,,,,3-30-041-21-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4467,,231181,,52.5505,-113.016249,3,30,SW,41,21,4,,,,3-30-041-21-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4468,,231420,,52.695296,-113.025661,13,8,NW,43,21,4,,,,13-08-043-21-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4469,,231593,,52.704246,-113.050362,5,18,SW,43,21,4,,,,5-18-043-21-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4471,,141270,,51.519524,-113.151946,1,34,SE,29,23,4,,,,1-34-029-23-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4472,,141376,,51.517091,-113.414721,15,26,NE,29,25,4,,,,15-26-029-25-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4473,,141391,,51.70825,-113.561416,3,1,SW,32,26,4,,,,3-01-032-26-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4474,,141439,,51.750883,-113.615583,4,22,SW,32,26,4,,,,4-22-032-26-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4475,,141443,,51.763513,-113.598503,16,22,NE,32,26,4,,,,16-22-032-26-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4476,,141450,,51.7724,-113.594366,5,26,SW,32,26,4,,,,5-26-032-26-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4477,,141455,,51.776345,-113.601398,16,27,NE,32,26,4,,,,16-27-032-26-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4478,,,,51.088727,-113.31321,,32,NE,24,24,4,1950,,41 meters southwest of house,NE-32-024-24-W4,946,metres,2011-10-20 10:38:47.710000000,CONVERSION
4479,,,,51.103812,-113.504264,,1,NE,25,26,4,,,6 meters north of house,NE-01-025-26-W4,950,metres,2011-10-20 10:38:47.710000000,CONVERSION
4480,,,,51.077753,-112.980447,,26,NW,24,22,4,,,17 meters east of house,NW-26-024-22-W4,872,metres,2011-10-20 10:38:47.710000000,CONVERSION
4481,,,,51.078993,-112.981028,,26,NW,24,22,4,,,138 meters north of house,NW-26-024-22-W4,873,metres,2011-10-20 10:38:47.710000000,CONVERSION
4482,,,,51.003796,-113.494595,,36,NE,23,26,4,2008,,13 meters south of house,NE-36-023-26-W4,991,metres,2011-10-20 10:38:47.710000000,CONVERSION
4483,,141552,,51.798124,-113.258899,4,6,SW,33,23,4,,,,4-06-033-23-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4485,,,,51.589916,-113.376111,13,19,NW,30,24,4,,,,13-19-030-24-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4486,,41681,,52.051746,-113.088307,11,33,NW,35,22,4,,,,11-33-035-22-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4487,,41682,,52.051009,-113.082274,9,33,NE,35,22,4,,,,9-33-035-22-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4488,,41963,,53.069829,-113.471268,10,20,NE,47,24,4,,,,10-20-047-24-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
