BACTERIO_DETAILS_ID,WELL_TEST_ID,LAB_SAMPLE_NUMBER,LAB_NAME,LAB_LOCATION,CREATE_TIMESTAMP,CREATE_USERID
1064175,150,485901-1,Bodycote Testing Group,Edmonton,2011-10-20 10:38:47.710000000,CONVERSION
1064179,2211,485888-1,Bodycote Testing Group,Edmonton,2011-10-20 10:38:47.710000000,CONVERSION
1064183,2363,485903-1,Bodycote Testing Group,Edmonton,2011-10-20 10:38:47.710000000,CONVERSION
1064187,6,484599-1,Bodycote Testing Group,Edmonton,2011-10-20 10:38:47.710000000,CONVERSION
1064191,745,494920-1,Bodycote Testing Group,Edmonton,2011-10-20 10:38:47.710000000,CONVERSION
1064195,596,496268-4,Bodycote Testing Group,Edmonton,2011-10-20 10:38:47.710000000,CONVERSION
1064199,2212,494930-1,Bodycote Testing Group,Edmonton,2011-10-20 10:38:47.710000000,CONVERSION
1064203,250,494932-1,Bodycote Testing Group,Edmonton,2011-10-20 10:38:47.710000000,CONVERSION
1064207,151,494922-1,Bodycote Testing Group,Edmonton,2011-10-20 10:38:47.710000000,CONVERSION
1064211,2364,496004-1,Bodycote Testing Group,Edmonton,2011-10-20 10:38:47.710000000,CONVERSION
1064215,7,494926-1,Bodycote Testing Group,Edmonton,2011-10-20 10:38:47.710000000,CONVERSION
1064219,2308,496002-1,Bodycote Testing Group,Edmonton,2011-10-20 10:38:47.710000000,CONVERSION
1064223,2263,D35664,Maxxam Analytics,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064239,890,490224-2,Norwest Labs,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064243,746,476250-1,Norwest Labs,Edmonton,2011-10-20 10:38:47.710000000,CONVERSION
1064247,2365,497526-1,Norwest Labs,Edmonton,2011-10-20 10:38:47.710000000,CONVERSION
1064251,747,483720-1,Norwest Labs,Edmonton,2011-10-20 10:38:47.710000000,CONVERSION
1064259,251,501135-2,Bodycote Testing Group,Edmonton,2011-10-20 10:38:47.710000000,CONVERSION
1064263,2366,501127-1,Bodycote Testing Group,Edmonton,2011-10-20 10:38:47.710000000,CONVERSION
1064267,2264,501560-1,Bodycote Testing Group,Edmonton,2011-10-20 10:38:47.710000000,CONVERSION
1064271,839,503328-1,Bodycote Testing Group,Edmonton,2011-10-20 10:38:47.710000000,CONVERSION
