WELL_TEST_ID,WQUAL_DETAILS_ID,total alkalinity_value,carbonate_value,nitrite as nitrogen_value,nitrate as nitrogen_value,ph_value,bicarbonate_value,total dissolved solids_value,fluoride_value,total hardness_value,chloride_value,manganese_value,iron_value,sulphate_value,calcium_value,sodium_value,potassium_value,magnesium_value,iron (total)_value,nitrite + nitrate as nitrogen_value,ionic balance_value
8452,1210113,368.0,10.6,0.05,0.05,8.55,427.0,517.0,0.45,51.1,1.65,0.0183,0.235,93.9,12.2,182.0,0.94,5.01,0.283,0.071,95.6
9970,1210117,263.0,5.0,0.05,20.5,8.24,321.0,466.0,0.19,337.0,7.12,0.005,0.03,51.8,55.0,52.3,2.51,48.4,0.762,20.5,113.0
9971,1210121,259.0,5.0,0.01,0.9,8.5,304.0,552.0,0.4,8.86,5.6,0.003,0.01,171.0,1.9,216.0,1.0,1.0,0.05,0.9,1.1
6523,1210125,369.0,17.0,0.05,0.05,8.69,415.0,595.0,1.32,7.8,2.06,0.005,0.03,124.0,2.58,243.0,0.5,0.34,0.03,0.071,106.0
9455,1210129,360.0,5.0,0.01,0.01,7.6,439.0,1080.0,0.1,126.0,9.8,0.051,0.05,462.0,30.7,351.0,1.4,11.9,0.05,0.01,1.0
11800,1210133,765.0,5.0,0.05,0.05,8.24,933.0,2110.0,0.26,138.0,13.7,0.0879,0.345,883.0,45.0,702.0,2.81,6.17,0.442,0.071,97.9
5284,1210137,775.0,7.4,0.05,0.292,8.29,930.0,1960.0,0.26,101.0,10.3,0.0604,0.03,808.0,34.2,637.0,2.3,3.78,3.37,0.292,91.3
9591,1210141,288.0,5.0,0.01,7.9,7.2,352.0,844.0,0.1,404.0,15.0,0.001,0.02,356.0,66.5,166.0,2.0,57.7,0.09,7.9,1.1
11843,1210145,430.0,5.0,0.01,0.01,8.2,525.0,1710.0,0.8,34.1,4.6,0.036,0.12,830.0,10.2,599.0,2.0,2.1,3.31,0.01,1.0
11749,1210149,459.0,5.0,0.01,0.01,7.8,560.0,1820.0,0.6,81.9,4.1,0.039,0.03,888.0,22.4,616.0,2.8,6.3,0.04,0.01,1.0
9682,1210153,184.0,6.0,0.01,0.01,8.6,208.0,794.0,2.1,15.6,12.5,0.004,0.07,383.0,4.6,280.0,1.0,1.0,0.03,0.01,1.0
11204,1210157,170.0,5.0,0.01,0.01,8.5,207.0,900.0,2.2,17.4,14.2,0.004,0.1,464.0,5.3,310.0,1.0,1.0,0.04,0.01,1.0
8453,1210161,523.0,5.0,0.05,0.05,7.95,638.0,1190.0,0.1,504.0,14.4,0.533,4.27,474.0,123.0,211.0,4.17,47.7,4.38,0.071,93.3
11043,1210165,288.0,25.0,0.05,0.05,9.02,301.0,459.0,5.89,5.4,46.8,0.0056,0.03,46.3,2.18,185.0,0.5,0.1,0.362,0.071,97.6
9306,1210169,258.0,16.3,0.05,0.05,8.86,281.0,582.0,5.69,7.0,4.54,0.0052,0.03,201.0,2.62,213.0,0.5,0.12,0.03,0.071,96.4
8454,1210173,363.0,16.4,0.05,0.05,8.72,409.0,532.0,3.32,5.2,87.6,0.0056,0.03,1.13,1.9,220.0,0.5,0.1,0.365,0.071,97.5
9972,1210177,571.0,5.0,0.064,0.247,8.13,697.0,1400.0,0.25,279.0,4.22,0.157,0.394,575.0,73.0,380.0,3.1,23.4,22.2,0.312,94.2
12023,1210181,506.0,5.0,0.05,0.05,8.13,617.0,761.0,0.1,393.0,0.7,0.18,0.03,192.0,76.4,136.0,3.51,49.0,0.375,0.071,98.0
9307,1210185,479.0,6.4,0.05,0.05,8.34,572.0,1720.0,0.39,125.0,2.89,0.0667,0.257,821.0,37.6,566.0,1.88,7.48,0.284,0.071,101.0
10352,1210189,473.0,5.0,0.01,0.01,7.6,577.0,1240.0,0.8,137.0,9.7,0.04,0.49,499.0,28.8,394.0,3.0,15.9,2.63,0.01,1.0
9973,1210193,465.0,5.0,0.05,0.083,8.06,567.0,798.0,0.21,358.0,13.3,0.614,0.075,224.0,81.6,159.0,3.48,37.5,0.86,0.083,98.7
