WELL_TEST_ID,WQUAL_DETAILS_ID,total alkalinity_value,carbonate_value,nitrite as nitrogen_value,nitrate as nitrogen_value,ph_value,bicarbonate_value,total dissolved solids_value,fluoride_value,total hardness_value,chloride_value,manganese_value,iron_value,sulphate_value,calcium_value,sodium_value,potassium_value,magnesium_value,iron (total)_value,nitrite + nitrate as nitrogen_value,ionic balance_value
2259,1064255,1130.0,10.9,0.03,0.03,8.36,1350.0,1890.0,0.26,39.0,24.4,0.008,0.01,477.0,10.8,693.0,2.1,2.9,3.96,0.03,93.0
742,1064259,945.0,0.5,0.03,0.03,8.06,1150.0,1750.0,0.4,55.0,40.2,0.019,0.01,477.0,17.4,647.0,1.8,2.7,2.38,0.03,98.0
544,1064263,593.0,0.5,0.003,4.48,7.93,724.0,952.0,0.38,350.0,26.1,0.253,0.05,237.0,56.7,199.0,4.8,51.8,0.07,4.48,89.0
346,1064267,307.0,21.8,0.003,0.003,8.9,330.0,460.0,0.48,5.9,2.7,0.006,0.03,93.4,1.9,176.0,0.5,0.3,1.2,0.003,95.0
790,1064271,397.0,13.0,0.02,0.05,8.54,459.0,1500.0,1.2,7.0,625.0,0.05,0.1,10.0,2.0,602.0,4.0,2.0,0.7,0.07,102.0
347,1064275,320.0,8.7,0.003,0.009,8.52,372.0,872.0,1.08,14.0,21.0,0.013,0.01,341.0,5.1,311.0,0.6,0.3,0.04,0.009,98.0
298,1064279,437.0,0.5,0.002,0.002,8.0,533.0,824.0,0.22,330.0,4.8,0.292,0.04,273.0,56.4,178.0,2.7,45.9,0.68,0.002,99.0
50,1064283,365.0,0.5,0.002,40.7,7.77,445.0,1280.0,0.16,920.0,34.7,0.014,0.08,488.0,180.0,55.4,3.6,114.0,0.15,40.7,98.0
2359,1064287,374.0,0.5,0.002,0.002,8.08,457.0,590.0,0.2,300.0,6.0,0.166,0.04,170.0,41.9,98.6,1.5,46.6,0.12,0.002,91.0
2260,1064299,604.0,23.0,0.03,0.05,8.56,688.0,1930.0,0.74,60.0,5.6,0.05,0.12,882.0,19.0,658.0,4.0,4.0,0.3,0.03,98.0
348,1064303,855.0,7.0,0.005,0.02,8.35,1030.0,909.0,1.16,10.0,11.3,0.005,0.01,0.9,3.3,380.0,1.2,0.4,0.2,0.02,96.0
743,1064307,508.0,6.0,0.005,0.01,8.27,619.0,836.0,0.55,43.0,0.7,0.012,0.04,217.0,11.1,297.0,2.0,3.6,0.1,0.02,94.0
99,1064311,607.0,28.0,0.005,0.02,8.62,684.0,1300.0,0.9,10.0,2.5,0.005,0.03,470.0,3.8,460.0,1.5,0.7,0.1,0.02,92.0
199,1064315,554.0,24.0,0.02,0.05,8.6,627.0,1520.0,0.99,10.0,2.8,0.05,0.1,647.0,4.0,530.0,4.0,1.0,0.1,0.07,95.0
545,1064319,516.0,6.0,0.005,0.01,8.11,629.0,967.0,0.38,78.0,0.9,0.034,0.47,307.0,20.1,320.0,2.5,6.8,0.4,0.02,93.0
2360,1064323,519.0,20.0,0.02,0.05,8.6,592.0,1420.0,0.95,10.0,2.6,0.05,0.1,584.0,5.0,513.0,4.0,1.0,1.6,0.07,100.0
2210,1064327,692.0,6.0,0.02,0.05,8.13,843.0,1690.0,0.4,100.0,4.6,0.09,0.74,653.0,27.0,581.0,6.0,8.0,2.6,0.07,99.0
51,1064335,451.0,12.2,0.003,0.044,8.53,525.0,703.0,0.33,23.0,9.8,0.011,0.01,146.0,6.3,267.0,1.1,1.8,0.01,0.044,98.0
149,1064339,463.0,0.5,0.003,0.003,8.14,565.0,756.0,0.17,240.0,3.3,0.162,0.2,201.0,57.1,191.0,2.3,22.6,0.23,0.003,97.0
744,1064343,717.0,6.0,0.02,0.07,7.95,874.0,2850.0,0.5,160.0,2.4,0.141,0.1,1430.0,49.0,922.0,6.0,9.0,0.3,0.07,98.0
984,1064351,324.0,0.5,0.003,0.974,8.16,395.0,342.0,0.18,310.0,10.4,0.025,0.04,11.9,79.3,11.5,2.5,27.8,0.4,0.974,96.0
494,1064359,520.0,8.0,0.005,0.02,8.4,618.0,804.0,0.34,70.0,0.7,0.016,0.01,181.0,20.1,284.0,1.6,4.8,0.1,0.02,97.0
249,1064367,621.0,24.0,0.005,0.01,8.61,708.0,877.0,0.19,20.0,0.4,0.014,0.01,171.0,6.3,325.0,1.4,0.9,0.1,0.02,91.0
299,1064371,471.0,6.0,0.005,0.01,8.27,574.0,879.0,0.23,161.0,2.4,0.16,0.14,272.0,39.2,265.0,2.0,15.4,0.2,0.02,98.0
300,1064375,465.0,7.0,0.005,0.06,8.37,553.0,546.0,0.28,113.0,1.8,0.013,0.09,47.4,26.4,178.0,1.5,11.5,0.7,0.06,97.0
791,1064387,1200.0,9.0,0.02,0.05,8.32,1450.0,1400.0,0.57,20.0,102.0,0.05,0.1,20.0,7.0,595.0,4.0,1.0,0.3,0.07,96.0
349,1064391,753.0,19.0,0.12,17.2,8.43,879.0,1540.0,1.2,90.0,9.8,0.011,0.1,484.0,23.0,565.0,4.0,7.0,1.0,17.3,98.0
1,1064395,427.0,0.5,0.003,2.95,8.01,521.0,514.0,0.17,380.0,19.0,0.004,0.03,47.8,90.4,46.7,3.8,36.4,0.05,2.95,94.0
889,1064399,568.0,42.6,0.003,0.003,8.97,607.0,614.0,3.63,4.3,11.7,0.004,0.01,1.6,1.3,254.0,0.6,0.2,0.02,0.003,93.0
2,1064403,415.0,0.5,0.004,0.01,8.08,506.0,485.0,0.18,200.0,3.3,0.234,0.59,47.4,56.6,111.0,1.9,14.4,0.59,0.013,95.0
350,1064407,407.0,13.8,0.03,0.004,8.56,469.0,889.0,1.31,16.0,6.6,0.012,0.01,314.0,5.8,316.0,0.5,0.5,0.26,0.004,94.0
394,1064411,281.0,0.5,0.003,0.003,8.2,343.0,589.0,0.58,77.0,11.2,0.138,0.03,191.0,23.3,189.0,0.9,4.5,0.52,0.003,98.0
301,1064415,753.0,5.0,0.09,0.21,8.3,917.0,929.0,1.0,37.0,5.4,0.29,0.28,106.0,9.6,349.0,1.3,3.1,0.43,0.3,91.3
52,1064419,417.0,37.2,0.003,0.003,9.02,433.0,478.0,3.36,2.5,18.7,0.043,0.02,3.4,1.0,203.0,0.4,0.2,0.05,0.003,97.0
351,1064423,566.0,26.3,0.003,0.003,8.72,637.0,766.0,1.78,6.0,9.7,0.004,0.01,106.0,2.0,306.0,0.6,0.3,0.04,0.003,97.0
302,1064427,544.0,26.7,0.003,0.278,8.71,609.0,768.0,3.86,7.2,2.5,0.004,0.01,128.0,2.3,303.0,0.7,0.4,0.48,0.278,97.0
444,1064431,335.0,8.8,0.003,0.003,8.48,391.0,1400.0,0.8,30.0,10.4,0.814,0.03,698.0,9.6,476.0,1.7,1.5,0.06,0.003,99.0
594,1064435,153.0,7.3,0.003,0.003,8.63,172.0,985.0,2.04,18.0,25.7,0.004,0.06,533.0,6.0,325.0,0.6,0.7,0.07,0.003,97.0
395,1064439,221.0,8.9,0.003,0.003,8.6,251.0,1020.0,1.88,16.0,29.2,0.006,0.01,492.0,5.3,354.0,0.7,0.8,0.08,0.003,101.0
3,1064443,240.0,7.0,0.003,0.003,8.5,279.0,1360.0,1.08,30.0,10.8,0.013,0.01,717.0,10.4,479.0,0.9,1.0,0.66,0.003,107.0
2361,1064447,213.0,8.7,0.003,0.013,8.53,243.0,1020.0,1.87,17.0,29.8,0.006,0.02,536.0,5.4,321.0,0.5,0.9,0.02,0.013,87.0
303,1064451,721.0,22.3,0.003,0.011,8.55,835.0,1210.0,0.84,17.0,4.4,0.006,0.04,310.0,6.1,456.0,0.9,0.5,0.06,0.011,96.0
2362,1064455,716.0,17.5,0.003,0.006,8.48,838.0,1270.0,0.68,30.0,4.3,0.008,0.12,338.0,9.9,481.0,0.9,1.2,0.2,0.006,100.0
985,1064459,552.0,0.5,0.003,0.227,8.1,673.0,736.0,0.57,110.0,2.8,0.034,0.03,112.0,30.4,248.0,2.0,9.2,0.37,0.227,97.0
352,1064463,386.0,0.5,0.005,0.072,8.03,471.0,484.0,0.16,240.0,3.3,0.114,0.27,67.3,61.4,95.1,2.3,21.7,1.76,0.077,98.0
53,1064467,473.0,17.9,0.003,0.14,8.61,540.0,1040.0,1.27,19.0,1.8,0.004,0.01,364.0,5.3,379.0,1.0,1.3,0.01,0.14,98.0
4,1064471,557.0,14.0,0.003,0.06,8.51,652.0,953.0,0.73,13.0,1.3,0.017,0.06,252.0,4.3,358.0,1.0,0.6,0.11,0.06,96.0
595,1064475,505.0,0.5,0.02,0.675,8.0,617.0,689.0,0.2,230.0,1.1,0.097,0.31,133.0,64.3,165.0,4.0,18.0,0.71,0.68,93.0
445,1064479,533.0,38.9,0.005,0.06,8.89,573.0,795.0,0.89,5.5,5.8,0.004,0.01,153.0,1.6,312.0,0.7,0.4,0.02,0.065,98.0
986,1064483,526.0,0.5,0.003,0.007,7.95,642.0,854.0,0.29,350.0,2.5,0.704,0.22,250.0,95.3,159.0,3.2,27.0,0.18,0.007,89.0
987,1064487,499.0,45.4,0.003,0.005,9.01,516.0,559.0,4.27,2.3,15.8,0.004,0.03,5.2,0.9,233.0,0.6,0.2,0.07,0.005,95.0
495,1064491,614.0,27.1,0.003,0.005,8.62,694.0,1400.0,0.76,18.0,3.5,0.011,0.02,494.0,5.5,528.0,1.0,1.0,0.04,0.005,103.0
200,1064495,503.0,0.5,0.003,0.011,8.24,614.0,611.0,1.17,140.0,5.1,0.037,0.48,69.1,35.7,182.0,2.2,13.2,0.62,0.014,93.0
304,1064499,722.0,4.8,0.006,0.059,8.35,871.0,2090.0,1.0,53.0,64.8,0.019,0.21,816.0,18.3,773.0,1.6,2.0,0.3,0.065,102.0
54,1064503,910.0,6.0,0.005,0.11,8.08,1110.0,1180.0,0.2,62.0,18.4,0.027,0.33,146.0,16.4,445.0,1.5,5.2,8.4,0.11,95.0
988,1064507,683.0,6.0,0.005,0.052,8.1,833.0,2260.0,0.62,100.0,4.7,0.036,0.1,1040.0,30.0,763.0,4.0,8.0,1.0,0.05,99.0
2261,1064511,722.0,7.0,0.003,0.008,8.33,866.0,2620.0,0.7,76.0,4.5,0.061,0.29,1210.0,23.9,938.0,1.8,3.9,0.2,0.008,106.0
644,1064515,359.0,0.5,0.003,0.018,7.89,438.0,493.0,0.3,360.0,46.9,0.17,0.45,42.0,99.6,56.9,3.1,28.1,0.47,0.018,105.0
5,1064519,394.0,0.5,0.003,0.085,8.05,481.0,458.0,0.18,250.0,1.8,0.031,0.2,48.1,67.3,82.8,2.1,19.0,0.26,0.085,96.0
2262,1064523,582.0,41.0,0.011,0.02,8.88,626.0,701.0,1.89,6.5,3.4,0.005,0.03,59.6,2.3,286.0,0.6,0.2,0.1,0.03,96.0
693,1064527,753.0,17.0,0.005,0.01,8.48,883.0,988.0,0.68,13.0,6.0,0.005,0.06,119.0,4.6,405.0,0.9,0.5,1.0,0.02,101.0
353,1064531,708.0,18.0,0.005,0.03,8.53,827.0,1080.0,0.63,10.0,2.0,0.005,0.05,221.0,3.9,429.0,0.8,0.4,0.1,0.03,100.0
150,1064535,687.0,13.0,0.005,0.01,8.46,812.0,1030.0,0.6,10.0,2.4,0.006,0.06,203.0,4.0,406.0,0.9,0.4,0.1,0.02,99.0
2211,1064539,692.0,28.0,0.005,0.01,8.62,787.0,857.0,0.38,9.0,1.0,0.005,0.04,80.0,3.0,357.0,0.8,0.3,0.1,0.02,101.0
2363,1064543,550.0,6.0,0.005,0.01,7.94,670.0,748.0,0.05,72.0,0.6,0.07,0.79,118.0,23.4,271.0,2.2,3.3,2.2,0.02,99.0
6,1064547,573.0,6.0,0.005,0.01,8.25,699.0,940.0,0.13,88.0,0.7,0.069,0.48,236.0,27.8,324.0,2.2,4.5,0.5,0.02,97.0
745,1064551,1400.0,6.0,0.02,0.86,8.21,1710.0,1970.0,0.54,46.0,16.1,0.05,0.1,324.0,15.0,770.0,4.0,2.0,0.2,0.86,97.0
596,1064555,340.0,7.0,0.005,0.01,8.42,400.0,845.0,0.22,196.0,1.6,0.06,0.28,335.0,38.5,238.0,3.5,24.2,3.6,0.02,104.0
2212,1064559,664.0,18.0,0.005,0.01,8.52,773.0,1080.0,0.61,12.0,2.7,0.005,0.06,269.0,4.1,410.0,1.1,0.4,0.1,0.02,95.0
250,1064563,681.0,20.0,0.005,0.01,8.5,789.0,1340.0,0.66,23.0,10.8,0.006,0.06,422.0,8.0,494.0,1.4,0.6,0.1,0.02,97.0
151,1064567,1050.0,23.0,0.02,0.05,8.45,1230.0,1330.0,0.61,18.0,2.5,0.005,0.02,166.0,6.2,526.0,1.6,0.7,0.1,0.07,95.0
2364,1064571,1200.0,6.0,0.02,0.05,8.19,1470.0,1600.0,0.4,20.0,1.7,0.05,0.1,210.0,6.0,647.0,4.0,1.0,0.1,0.07,100.0
7,1064575,612.0,9.0,0.005,0.01,8.42,727.0,1130.0,0.55,18.0,2.5,0.012,0.02,325.0,5.9,428.0,1.4,0.6,0.1,0.02,99.0
2308,1064579,625.0,6.0,0.005,0.01,8.28,762.0,1400.0,0.56,32.1,2.6,0.016,0.32,516.0,10.8,490.0,1.5,1.2,1.1,0.02,94.0
2263,1064583,540.0,51.0,0.003,0.011,9.01,555.0,689.0,2.73,3.6,57.9,0.004,0.01,0.5,1.0,302.0,0.7,0.3,0.01,0.011,105.0
890,1064599,561.0,24.0,0.005,0.01,8.62,636.0,776.0,0.4,7.0,0.8,0.005,0.03,129.0,2.3,306.0,0.7,0.3,0.1,0.02,96.0
746,1064603,602.0,6.0,0.005,0.01,7.76,733.0,770.0,0.42,242.0,2.8,0.099,0.07,108.0,65.1,211.0,3.5,19.2,1.3,0.02,98.0
2365,1064607,446.0,6.0,0.005,0.01,7.91,544.0,955.0,0.11,678.0,2.5,0.182,0.56,371.0,164.0,79.9,4.6,65.2,5.2,0.02,103.0
747,1064611,634.0,6.0,0.005,0.01,8.3,773.0,1000.0,0.31,149.0,1.2,0.055,0.49,250.0,40.1,314.0,3.1,11.8,0.7,0.02,93.0
251,1064619,521.0,6.0,0.005,8.6,8.2,635.0,748.0,0.16,561.0,104.0,0.009,0.02,53.4,123.0,87.9,4.6,61.8,0.3,8.6,101.0
2366,1064623,606.0,20.0,0.005,0.01,8.5,697.0,808.0,0.59,64.0,0.6,0.016,0.01,121.0,18.7,298.0,1.9,4.3,0.2,0.02,98.0
2264,1064627,832.0,49.0,0.005,0.79,8.67,913.0,902.0,2.28,9.0,11.7,0.007,0.06,2.0,3.3,386.0,0.9,0.3,1.8,0.79,99.0
839,1064631,628.0,18.0,0.005,0.01,8.51,729.0,938.0,1.94,10.0,1.1,0.005,0.03,184.0,3.7,371.0,1.1,0.8,0.1,0.02,99.0
694,1064635,595.0,6.0,0.005,0.01,8.22,726.0,1030.0,2.11,58.0,7.1,0.007,0.15,259.0,17.5,382.0,1.2,3.5,0.1,0.02,101.0
354,1064639,702.0,6.0,0.005,0.01,8.15,856.0,1130.0,0.6,22.0,10.7,0.046,0.06,248.0,7.2,445.0,1.0,1.1,0.1,0.02,102.0
2310,1064643,914.0,34.0,0.005,0.17,8.57,1040.0,1120.0,1.21,18.0,35.6,0.005,0.01,70.2,5.5,463.0,0.8,1.1,0.2,0.17,99.0
355,1064647,915.0,24.0,0.005,0.01,8.52,1070.0,1190.0,1.09,14.0,23.5,0.005,0.11,125.0,4.7,490.0,0.9,0.6,0.7,0.02,100.0
496,1064651,448.0,4.3,0.016,0.074,8.33,538.0,546.0,0.21,190.0,8.4,0.029,0.05,63.5,48.5,133.0,6.0,17.3,0.49,0.09,93.0
748,1064655,631.0,34.0,0.005,0.01,8.68,701.0,780.0,2.0,10.0,10.1,0.01,0.13,70.7,3.8,315.0,0.9,0.5,0.2,0.02,96.0
396,1064659,586.0,6.0,0.005,0.01,8.32,715.0,741.0,2.23,8.0,81.8,0.014,0.08,0.9,2.9,303.0,0.9,0.3,0.5,0.02,94.0
645,1064663,393.0,6.0,0.005,0.01,7.85,480.0,768.0,0.05,449.0,1.1,0.259,2.24,274.0,132.0,91.4,4.0,28.9,2.5,0.02,97.0
2367,1064667,591.0,28.0,0.012,0.04,8.64,664.0,827.0,0.23,9.0,0.7,0.008,0.01,152.0,3.2,315.0,1.0,0.3,0.1,0.05,93.0
749,1064671,911.0,19.0,0.005,0.01,8.52,1070.0,1010.0,2.49,9.0,49.9,0.005,0.07,1.0,3.3,405.0,1.1,0.3,0.8,0.02,90.0
397,1064675,630.0,24.0,0.005,0.01,8.67,719.0,909.0,1.63,8.0,163.0,0.005,0.03,1.0,2.8,363.0,0.9,0.3,0.2,0.02,92.0
891,1064679,709.0,9.0,0.005,0.01,8.4,846.0,787.0,1.08,22.0,9.6,0.008,0.03,25.0,6.7,318.0,1.7,1.2,0.1,0.02,95.0
892,1064683,718.0,9.0,0.005,0.01,8.43,858.0,1090.0,0.88,68.0,7.8,0.014,0.07,238.0,19.9,392.0,1.8,4.5,0.5,0.02,94.0
100,1064687,431.0,6.0,0.005,27.6,7.52,525.0,864.0,0.27,802.0,83.2,0.39,0.01,192.0,216.0,44.0,6.0,64.1,0.1,27.6,107.0
356,1064691,532.0,17.8,0.003,0.003,8.59,613.0,1300.0,0.74,14.0,1.1,0.018,0.15,476.0,4.2,495.0,0.8,0.8,0.67,0.003,106.0
55,1064695,609.0,7.0,0.02,0.05,8.37,728.0,1520.0,0.4,50.0,4.2,0.06,1.04,592.0,14.0,543.0,4.0,4.0,2.0,0.07,100.0
2368,1064699,413.0,6.0,0.02,0.63,7.81,503.0,1470.0,0.4,460.0,5.7,0.07,0.1,720.0,119.0,331.0,5.0,39.0,2.8,0.63,101.0
252,1064703,461.0,6.0,0.005,0.01,8.16,562.0,608.0,0.05,117.0,0.9,0.027,0.17,98.8,23.5,192.0,2.3,14.2,0.3,0.02,95.0
792,1064707,910.0,30.9,0.003,0.003,8.55,1050.0,1200.0,0.69,12.0,34.1,0.004,0.03,143.0,4.3,468.0,0.9,0.4,0.05,0.003,93.0
793,1064711,587.0,0.5,0.006,0.006,8.26,716.0,1160.0,0.39,67.0,2.2,0.07,0.15,365.0,19.3,413.0,1.8,4.6,0.17,0.006,100.0
597,1064715,692.0,6.0,0.02,0.24,8.16,844.0,2030.0,0.4,100.0,17.2,0.025,0.1,857.0,40.0,691.0,4.0,7.0,1.2,0.24,101.0
840,1064719,397.0,6.6,0.013,0.063,8.41,470.0,506.0,0.62,29.0,4.7,0.011,0.01,55.5,8.6,195.0,1.3,1.9,0.03,0.076,99.0
695,1064723,421.0,0.5,0.06,11.1,7.82,514.0,602.0,0.17,530.0,36.2,0.418,0.01,54.1,139.0,22.6,2.5,44.4,0.01,11.2,102.0
305,1064727,503.0,13.2,0.003,0.306,8.53,587.0,1020.0,2.3,10.0,292.0,0.004,0.01,0.6,3.5,416.0,0.9,0.3,1.74,0.306,99.0
696,1064731,353.0,0.5,0.003,1.59,8.03,431.0,412.0,0.16,310.0,8.4,0.023,0.04,34.9,71.2,42.6,3.1,32.1,0.12,1.59,100.0
446,1064735,677.0,25.0,0.005,0.01,8.62,773.0,939.0,1.16,10.0,28.3,0.005,0.01,141.0,3.8,358.0,1.3,0.3,0.1,0.02,91.0
989,1064739,557.0,15.0,0.02,0.05,8.49,648.0,1730.0,0.2,20.0,1.3,0.05,0.1,766.0,7.0,619.0,4.0,1.0,1.6,0.07,100.0
546,1064743,501.0,22.0,0.005,0.01,8.64,566.0,1100.0,0.18,13.0,2.5,0.014,0.03,392.0,4.3,395.0,1.5,0.5,0.1,0.02,96.0
2213,1064747,543.0,16.0,0.05,0.05,8.5,629.0,1560.0,1.0,19.0,6.9,0.01,0.03,722.0,5.4,491.0,1.7,1.3,0.06,0.07,83.4
697,1064751,273.0,27.0,0.05,0.05,9.0,278.0,568.0,5.5,5.0,2.8,0.01,0.01,197.0,2.0,196.0,0.5,0.1,0.02,0.05,87.0
253,1064755,279.0,5.0,0.05,0.05,8.4,331.0,358.0,0.3,251.0,13.9,0.04,0.04,56.7,50.6,36.0,2.7,30.3,0.39,0.05,94.9
893,1064759,255.0,22.0,0.08,0.05,9.0,265.0,742.0,5.6,5.0,2.7,0.01,0.01,307.0,1.7,271.0,0.7,0.1,0.02,0.08,100.0
497,1064763,280.0,37.0,0.05,0.05,9.2,267.0,391.0,5.2,3.0,38.4,0.01,0.01,19.9,1.1,156.0,2.1,0.1,0.02,0.05,93.4
56,1064767,389.0,18.0,0.05,0.05,8.7,437.0,675.0,1.2,7.0,4.3,0.01,0.04,169.0,2.5,264.0,0.6,0.3,0.14,0.05,102.0
306,1064771,672.0,18.0,0.05,0.06,8.4,783.0,1290.0,0.8,17.0,6.5,0.03,0.09,393.0,5.7,481.0,1.2,0.6,4.91,0.06,97.4
398,1064775,299.0,26.0,0.05,0.05,9.0,312.0,738.0,3.8,9.0,2.2,0.01,0.02,277.0,3.4,271.0,0.7,0.2,0.72,0.05,99.9
2265,1064779,358.0,7.0,0.05,0.05,8.3,424.0,493.0,0.3,342.0,19.0,0.03,0.02,93.9,74.1,49.0,3.8,38.0,0.18,0.05,93.4
547,1064783,539.0,10.0,0.05,0.07,8.7,638.0,891.0,1.4,8.0,5.0,0.01,0.02,186.0,2.9,371.0,0.9,0.2,0.23,0.07,110.0
598,1064787,276.0,28.0,0.05,0.27,9.1,280.0,674.0,5.9,8.0,2.2,0.01,0.01,226.0,2.9,269.0,0.6,0.2,0.23,0.05,112.0
101,1064791,234.0,33.0,0.05,0.05,9.2,219.0,525.0,6.0,3.0,5.9,0.01,0.01,179.0,1.1,192.0,0.4,0.1,0.05,0.05,94.6
57,1064795,314.0,8.0,0.05,0.05,8.5,366.0,1170.0,1.3,23.0,3.9,0.05,0.05,589.0,7.7,382.0,0.7,0.9,0.04,0.05,91.4
399,1064799,360.0,7.0,0.05,0.05,8.4,426.0,901.0,1.6,24.0,4.5,0.06,0.1,367.0,7.5,302.0,1.1,1.2,0.07,0.05,90.5
2311,1064803,455.0,5.0,0.05,0.05,8.2,555.0,624.0,0.3,220.0,2.1,0.05,1.26,135.0,28.1,147.0,1.7,36.3,1.23,0.05,90.4
102,1064807,460.0,6.0,0.05,0.05,8.3,549.0,819.0,0.4,69.0,6.8,0.07,0.1,240.0,13.0,273.0,0.6,8.9,0.13,0.05,92.1
58,1064811,506.0,7.0,0.05,0.25,8.3,603.0,919.0,0.2,57.0,8.4,0.05,0.15,277.0,13.7,309.0,0.7,5.5,0.24,0.25,90.4
698,1064815,423.0,13.0,0.05,0.96,8.4,490.0,1470.0,0.2,763.0,25.7,0.4,0.06,774.0,91.2,184.0,2.1,130.0,0.07,0.96,91.8
59,1064819,5.0,5.0,0.05,6.28,7.9,404.0,1030.0,0.1,672.0,14.6,0.01,0.01,516.0,105.0,63.0,4.1,99.6,0.53,6.28,89.3
498,1064823,318.0,5.0,0.05,9.01,8.0,388.0,890.0,0.2,586.0,15.8,0.01,0.01,389.0,111.0,63.0,5.3,75.0,0.02,9.01,93.8
794,1064827,446.0,9.0,0.05,0.18,8.4,526.0,1230.0,0.6,88.0,6.1,0.03,0.01,550.0,21.7,374.0,1.7,8.1,0.56,0.18,87.7
599,1064831,343.0,14.0,0.05,0.05,8.6,389.0,1190.0,1.7,11.0,8.7,0.01,0.02,560.0,3.8,408.0,0.6,0.4,0.58,0.05,95.5
400,1064839,174.0,9.0,0.05,0.05,8.7,194.0,764.0,2.0,6.0,54.1,0.01,0.02,334.0,2.1,267.0,0.6,0.2,0.02,0.07,97.4
357,1064843,314.0,14.0,0.05,0.05,8.6,355.0,983.0,3.0,22.0,55.3,0.01,0.04,365.0,6.0,362.0,1.1,1.8,0.92,0.05,104.0
795,1064847,178.0,5.0,0.05,0.05,8.5,209.0,972.0,1.9,7.0,52.2,0.01,0.02,484.0,2.5,324.0,0.3,0.3,0.08,0.07,94.5
201,1064851,179.0,7.0,0.05,0.05,8.6,205.0,802.0,1.8,10.0,51.9,0.01,0.02,380.0,3.4,257.0,0.4,0.4,0.22,0.05,87.2
103,1064855,327.0,13.0,0.05,0.05,8.6,372.0,914.0,1.9,24.0,59.7,0.02,0.1,326.0,6.6,320.0,1.5,1.8,0.13,0.05,95.6
841,1064859,285.0,11.0,0.05,0.05,8.6,325.0,838.0,1.7,8.0,58.3,0.02,0.07,312.0,2.8,291.0,0.4,0.3,0.25,0.05,92.2
358,1064863,319.0,11.0,0.05,0.05,8.6,367.0,782.0,3.2,11.0,56.0,0.01,0.02,236.0,3.2,291.0,0.6,0.7,0.67,0.05,98.8
750,1064867,379.0,14.0,0.05,0.05,8.6,434.0,817.0,3.2,8.0,7.8,0.01,0.01,290.0,2.7,285.0,0.3,0.2,0.03,0.05,89.6
499,1064871,329.0,18.0,0.05,0.05,8.8,366.0,713.0,3.6,3.0,5.1,0.02,0.15,239.0,1.2,266.0,0.5,0.1,0.54,0.05,97.8
600,1064875,338.0,18.0,0.05,0.05,8.8,376.0,774.0,3.3,2.0,5.6,0.01,0.01,268.0,0.7,293.0,0.1,0.1,0.03,0.07,101.0
307,1064879,499.0,10.0,0.05,0.05,8.4,587.0,1290.0,0.3,38.0,9.1,0.01,0.27,524.0,9.1,446.0,0.1,3.6,0.06,0.05,95.3
699,1064883,487.0,5.0,0.05,0.05,8.3,584.0,1380.0,0.2,543.0,14.1,0.31,0.18,616.0,72.5,290.0,3.2,87.9,0.21,0.07,103.0
152,1064887,477.0,5.0,0.05,0.05,8.2,582.0,1240.0,0.2,395.0,11.0,0.17,0.06,541.0,52.1,286.0,0.4,64.3,0.07,0.07,96.3
751,1064891,462.0,5.0,0.05,0.05,8.3,563.0,1170.0,0.3,291.0,9.9,0.32,0.19,509.0,42.9,283.0,2.5,44.7,0.39,0.07,90.4
359,1064895,462.0,5.0,0.05,0.05,8.2,564.0,1130.0,0.3,269.0,10.3,0.32,0.18,486.0,36.2,274.0,3.1,43.4,0.41,0.07,88.3
60,1064899,477.0,10.0,0.05,0.05,8.4,560.0,1150.0,0.2,268.0,11.3,0.15,0.31,508.0,34.9,268.0,1.8,43.8,0.41,0.07,83.5
104,1064903,270.0,29.0,0.05,0.05,9.1,272.0,519.0,5.1,1.0,25.7,0.01,0.01,125.0,0.5,201.0,0.1,0.1,0.03,0.07,96.9
61,1064907,247.0,10.0,0.05,0.05,8.6,282.0,1160.0,1.4,11.0,14.3,0.01,0.02,622.0,3.3,370.0,0.8,0.7,0.07,0.07,88.9
360,1064911,330.0,5.0,0.05,2.53,8.3,402.0,451.0,0.1,321.0,14.8,0.01,0.02,79.6,51.8,48.0,1.3,46.6,0.06,2.53,96.5
2266,1064915,499.0,5.0,0.05,1.01,8.1,609.0,702.0,0.3,272.0,12.3,0.48,0.01,109.0,63.1,183.0,2.2,27.9,0.03,1.01,106.0
2312,1064919,495.0,5.0,0.05,0.06,8.3,598.0,752.0,0.6,85.0,9.4,0.02,0.02,156.0,21.3,259.0,1.2,7.7,0.07,0.07,97.3
401,1064923,426.0,5.0,0.05,0.05,8.1,520.0,557.0,0.1,148.0,6.1,0.07,0.45,85.4,39.3,156.0,1.9,12.2,0.48,0.07,93.5
2369,1064927,274.0,5.0,0.05,0.2,8.2,335.0,369.0,0.1,244.0,11.7,0.01,0.02,74.5,35.2,43.0,1.0,37.9,0.04,0.2,91.6
796,1064931,492.0,5.0,0.05,0.05,8.1,600.0,889.0,0.5,262.0,3.6,0.45,0.31,261.0,57.5,240.0,2.0,28.7,0.35,0.07,102.0
361,1064935,270.0,14.0,0.05,0.05,8.8,302.0,747.0,3.8,5.0,3.8,0.01,0.01,306.0,1.9,269.0,0.4,0.1,0.05,0.07,97.6
797,1064939,479.0,7.0,0.05,0.06,8.4,570.0,771.0,0.6,33.0,9.4,0.01,0.05,156.0,7.9,305.0,1.0,3.2,0.01,0.07,106.0
