geometry,WELL_ID,WELL_TEST_ID,LATTITUDE,LONGITUDE,WQUAL_DETAILS_ID,total alkalinity_value,carbonate_value,nitrite as nitrogen_value,nitrate as nitrogen_value,ph_value,bicarbonate_value,total dissolved solids_value,fluoride_value,total hardness_value,chloride_value,manganese_value,iron_value,sulphate_value,calcium_value,sodium_value,potassium_value,magnesium_value,iron (total)_value,nitrite + nitrate as nitrogen_value,ionic balance_value
POINT (-113.265865 52.483254),10193,8831,52.483254,-113.265865,1206481,648.0,39.3,0.05,0.05,8.71,711.0,851.0,1.47,10.8,2.54,0.0054,0.03,129.0,3.87,324.0,0.82,0.27,0.05,0.071,90.7
POINT (-113.27683 52.488777),6999,4962,52.488777,-113.27683,1195787,748.0,14.0,0.05,0.05,8.43,884.0,1070.0,0.9,12.0,1.3,0.005,0.03,221.0,4.22,388.0,0.95,0.26,0.03,0.07,87.2
POINT (-113.280305 52.491805),4096,7124,52.491805,-113.280305,1216820,628.0,6.0,0.005,0.01,7.82,766.0,859.0,0.17,327.0,1.4,0.129,1.22,166.0,74.3,203.0,3.1,34.4,1.5,0.02,97.0
POINT (-113.280327 52.49174),11760,7628,52.49174,-113.280327,1195771,644.0,5.0,0.05,0.05,7.87,785.0,870.0,0.1,329.0,0.4,0.129,1.22,179.0,74.9,192.0,3.01,34.4,1.34,0.07,90.3
POINT (-113.265534 52.504643),8729,1763,52.504643,-113.265534,1156609,615.0,24.0,0.005,0.01,8.62,702.0,815.0,0.83,13.0,2.0,0.008,0.02,128.0,4.3,309.0,1.0,0.6,0.1,0.02,91.0
POINT (-113.266694 52.500221),8222,4786,52.500221,-113.266694,1194899,508.0,5.0,1.45,0.44,8.2,508.0,570.0,0.2,386.0,2.51,0.308,0.1,66.8,75.7,73.5,2.1,47.8,0.1,0.541,111.0
POINT (-113.268666 52.490222),2835,1504,52.490222,-113.268666,1157171,682.0,6.0,0.005,0.06,8.03,832.0,1180.0,0.08,531.0,0.7,0.112,0.07,359.0,99.5,235.0,4.0,68.6,0.1,0.06,99.0
POINT (-113.264194 52.493333),525,1811,52.493333,-113.264194,1157143,687.0,6.0,0.005,0.02,7.84,837.0,1160.0,0.09,468.0,0.6,0.201,0.45,328.0,88.8,268.0,3.8,59.8,0.6,0.02,103.0
POINT (-113.250276 52.500133),11019,5395,52.500133,-113.250276,1200859,548.0,5.0,0.03,0.08,8.2,548.0,680.0,0.09,347.0,2.52,0.372,0.4,92.7,76.4,114.0,2.2,37.9,0.4,0.017,109.0
POINT (-113.250224 52.500134),8223,8386,52.500134,-113.250224,1194895,566.0,5.0,0.03,0.08,8.2,566.0,735.0,0.08,404.0,2.5,0.242,0.3,104.0,85.8,0.6,2.3,46.0,0.3,0.017,109.0
POINT (-113.250277 52.500265),7873,10992,52.500265,-113.250277,1194891,525.0,5.0,0.03,0.18,8.2,525.0,650.0,0.09,378.0,2.95,0.381,0.2,33.0,79.8,94.8,1.8,43.5,0.2,0.041,114.0
POINT (-113.253616 52.49016),362,12233,52.49016,-113.253616,1155655,546.0,6.0,0.005,0.01,7.56,665.0,810.0,0.09,568.0,0.4,0.132,1.16,216.0,102.0,85.1,2.6,76.1,1.1,0.02,99.0
POINT (-113.254227 52.489795),4039,7310,52.489795,-113.254227,1194827,544.0,5.0,0.05,0.05,7.77,663.0,804.0,0.1,564.0,0.9,0.124,0.03,218.0,97.1,81.0,2.57,78.0,1.07,0.07,96.3
POINT (-113.258831 52.466217),4857,1968,52.466217,-113.258831,1156015,487.0,6.0,0.005,0.11,7.78,594.0,605.0,0.1,500.0,0.4,0.005,0.01,105.0,100.0,43.2,3.2,60.4,0.1,0.11,100.0
POINT (-113.261527 52.464115),542,1463,52.464115,-113.261527,1155717,522.0,6.0,0.005,0.01,7.96,637.0,686.0,0.15,424.0,0.8,0.592,0.01,126.0,103.0,98.6,2.9,40.6,1.5,0.02,99.0
