geometry,WELL_ID,WELL_TEST_ID,LATTITUDE,LONGITUDE,WQUAL_DETAILS_ID,total alkalinity_value,carbonate_value,nitrite as nitrogen_value,nitrate as nitrogen_value,ph_value,bicarbonate_value,total dissolved solids_value,fluoride_value,total hardness_value,chloride_value,manganese_value,iron_value,sulphate_value,calcium_value,sodium_value,potassium_value,magnesium_value,iron (total)_value,nitrite + nitrate as nitrogen_value,ionic balance_value
POINT (-114.663735 51.907506),15267,15267,51.907506,-114.663735,1218525,446.0,12.0,0.01,0.27,8.47,519.0,558.0,1.54,105.0,2.0,0.005,0.1,16.0,25.7,176.0,1.9,10.0,0.1,0.27,104.0
POINT (-114.664958 51.908837),15268,15268,51.908837,-114.664958,1218526,310.0,64.0,0.01,0.02,9.62,247.0,386.0,0.85,21.0,27.0,0.005,0.1,4.0,3.6,157.0,2.0,2.9,6.0,0.02,103.0
POINT (-114.31471 51.849557),9509,2618,51.849557,-114.31471,1157083,460.0,6.0,0.005,0.12,8.06,561.0,503.0,0.21,128.0,9.1,0.054,0.01,18.0,33.2,152.0,2.9,10.9,2.5,0.12,94.0
POINT (-114.314706 51.856883),154,2732,51.856883,-114.314706,1157077,398.0,6.0,0.034,0.15,8.26,486.0,444.0,0.4,46.0,1.6,0.016,0.03,20.0,11.8,164.0,1.8,4.0,20.4,0.19,96.0
POINT (-114.302896 51.856877),2786,2991,51.856877,-114.302896,1157075,455.0,6.0,0.005,2.11,7.52,555.0,507.0,0.18,497.0,14.5,0.018,0.01,27.0,144.0,12.7,1.9,33.4,0.4,2.11,100.0
POINT (-114.302901 51.849552),3050,2087,51.849552,-114.302901,1157065,392.0,6.0,0.005,3.91,8.2,478.0,456.0,0.19,446.0,10.7,0.005,0.01,45.7,119.0,7.5,2.0,36.1,0.3,3.91,99.0
POINT (-114.291178 51.842265),7134,4733,51.842265,-114.291178,1216788,380.0,6.0,0.005,8.74,8.02,464.0,442.0,0.12,446.0,22.8,0.005,0.01,30.0,103.0,9.4,3.0,45.5,0.1,8.74,99.0
POINT (-114.291111 51.8423),152,2577,51.8423,-114.291111,1157071,392.0,6.0,0.005,0.01,8.13,477.0,446.0,0.05,339.0,19.0,0.123,0.02,28.0,86.2,40.8,4.7,30.1,1.3,0.02,98.0
POINT (-114.291104 51.84954),153,2924,51.84954,-114.291104,1157069,369.0,6.0,0.005,1.58,8.0,450.0,465.0,0.14,430.0,53.5,0.005,0.01,28.0,94.9,18.1,2.2,47.0,1.2,1.58,99.0
POINT (-114.35786 51.89292),7785,10150,51.89292,-114.35786,1202517,403.0,6.0,0.005,2.15,8.03,491.0,431.0,0.1,337.0,16.8,0.06,0.01,17.0,78.9,39.2,3.6,34.0,0.05,2.15,94.0
POINT (-114.495713 52.126301),3333,1094,52.126301,-114.495713,1070599,537.0,6.0,0.017,0.01,8.24,654.0,572.0,2.69,19.0,1.2,0.013,0.04,2.0,5.4,239.0,0.5,1.4,0.3,0.017,99.0
POINT (-114.483819 52.133566),8138,1639,52.133566,-114.483819,1070639,484.0,27.0,0.005,0.02,8.81,536.0,556.0,2.56,20.0,1.9,0.011,0.08,25.0,6.2,228.0,2.4,1.1,0.8,0.02,100.0
POINT (-114.362304 52.641446),4255,3636,52.641446,-114.362304,1177055,483.0,5.0,0.05,0.05,7.4,589.0,578.0,0.2,57.0,25.4,0.05,0.3,41.8,12.8,202.0,5.0,6.0,1.22,0.07,88.2
POINT (-114.366552 52.647988),11737,3637,52.647988,-114.366552,1177063,493.0,5.0,0.05,0.05,7.4,601.0,600.0,0.3,9.0,0.2,0.05,0.3,65.6,2.79,234.0,0.78,0.55,0.03,0.07,92.4
POINT (-114.386293 52.651664),10389,3363,52.651664,-114.386293,1177059,422.0,5.0,0.05,1.08,7.0,515.0,430.0,0.2,247.0,0.9,0.05,0.3,23.1,54.1,67.0,5.0,27.2,0.03,1.08,86.9
POINT (-114.375678 52.65212),6642,12633,52.65212,-114.375678,1200743,413.0,5.0,0.05,0.05,7.1,504.0,429.0,0.2,263.0,1.6,0.084,0.54,31.1,60.1,61.0,5.0,27.4,0.642,0.07,88.2
POINT (-114.504326 52.622393),10489,3047,52.622393,-114.504326,1177327,383.0,5.0,0.05,1.03,8.0,468.0,402.0,0.1,365.0,18.0,0.0725,0.21,16.8,83.0,8.3,2.99,38.2,0.244,1.03,89.8
POINT (-114.456885 52.618745),5429,4270,52.618745,-114.456885,1193899,392.0,29.0,0.05,0.05,8.97,418.0,526.0,2.1,4.0,0.6,0.005,0.03,69.5,1.21,217.0,0.5,0.12,0.03,0.07,101.0
POINT (-114.456885 52.618746),1012,4452,52.618746,-114.456885,1184287,422.0,26.0,0.05,0.05,8.9,463.0,531.0,2.1,3.0,0.7,0.005,0.03,66.4,1.08,207.0,0.5,0.14,0.03,0.07,91.0
POINT (-114.456913 52.681432),4256,8514,52.681432,-114.456913,1177067,510.0,5.0,0.05,0.05,8.2,617.0,634.0,0.1,78.0,0.2,0.0407,0.1,66.9,20.9,232.0,1.49,6.15,0.221,0.07,101.0
POINT (-114.624895 52.661979),5103,12675,52.661979,-114.624895,1197007,500.0,33.0,0.003,0.023,8.8,550.0,550.0,0.35,3.9,1.0,0.004,0.06,19.0,1.6,230.0,0.4,0.2,0.06,0.023,95.0
POINT (-114.835496 52.388485),2806,1966,52.388485,-114.835496,1156359,425.0,31.0,0.005,0.01,8.92,456.0,584.0,0.72,8.0,31.2,0.005,0.01,55.4,2.4,239.0,0.8,0.4,0.1,0.02,100.0
POINT (-114.847484 52.388471),160,5450,52.388471,-114.847484,1156345,432.0,26.0,0.006,0.01,8.85,475.0,598.0,0.58,5.0,45.4,0.005,0.01,44.5,1.6,246.0,0.7,0.2,0.1,0.02,99.0
POINT (-115.07391 52.21542),9305,4813,52.21542,-115.07391,1201901,258.0,6.0,0.005,0.36,7.94,314.0,318.0,0.13,287.0,6.1,0.005,0.04,47.0,82.0,7.4,1.1,20.0,0.05,0.36,96.0
POINT (-114.883389 52.402956),323,2481,52.402956,-114.883389,1156101,510.0,35.0,0.005,0.28,8.72,550.0,610.0,0.47,46.0,1.4,0.005,0.01,55.2,10.0,231.0,1.0,5.2,0.1,0.28,96.0
POINT (-114.871416 52.402937),2780,2888,52.402937,-114.871416,1156039,526.0,40.0,0.005,0.01,8.93,560.0,631.0,0.49,6.0,0.4,0.005,0.01,56.8,1.7,256.0,0.6,0.3,0.1,0.02,96.0
POINT (-115.04821 53.12727),5511,8712,53.12727,-115.04821,1191935,506.0,5.0,0.414,0.111,8.1,506.0,540.0,0.01,379.0,0.66,0.144,0.004,27.9,85.5,63.6,2.8,40.3,0.075,0.525,117.0
POINT (-115.03898 53.12463),5512,12495,53.12463,-115.03898,1191943,404.0,59.0,0.128,0.017,8.9,345.0,660.0,1.43,12.0,0.55,0.007,0.005,149.0,3.3,229.0,0.6,1.0,0.012,0.128,94.3
POINT (-115.04582 53.12053),7617,12541,53.12053,-115.04582,1191939,483.0,5.0,0.289,0.017,8.2,483.0,840.0,0.01,175.0,0.77,0.056,0.002,246.0,41.0,282.0,2.2,17.6,0.162,0.289,121.0
POINT (-115.023413 53.124511),5646,7635,53.124511,-115.023413,1192047,536.0,60.0,0.426,0.017,8.8,476.0,665.0,0.01,24.0,0.63,0.019,0.002,12.7,6.4,235.0,1.0,1.9,0.016,0.426,106.0
POINT (-115.023116 53.125028),5645,7417,53.125028,-115.023116,1192043,593.0,85.0,0.365,0.017,8.9,508.0,860.0,0.3,7.0,0.28,0.003,0.014,55.2,2.3,294.0,0.8,0.3,0.014,0.365,105.0
POINT (-115.02712 53.123818),5647,7282,53.123818,-115.02712,1192051,461.0,6.0,0.442,0.029,8.3,456.0,600.0,0.01,402.0,7.72,0.209,0.006,18.3,93.2,42.0,3.0,41.1,0.765,0.471,120.0
POINT (-115.028954 53.127717),5644,10291,53.127717,-115.028954,1192039,580.0,64.0,0.338,0.017,8.8,516.0,685.0,0.06,6.0,0.61,0.004,0.006,49.9,2.1,280.0,0.8,0.3,0.068,0.338,106.0
POINT (-115.040402 53.139717),5656,10967,53.139717,-115.040402,1192091,520.0,20.0,0.323,0.296,8.4,500.0,665.0,0.16,75.0,0.33,0.052,0.006,79.6,14.2,240.0,1.7,9.6,0.069,0.619,113.0
POINT (-115.047898 53.139334),5655,8098,53.139334,-115.047898,1192087,492.0,46.0,0.283,0.017,8.7,446.0,715.0,0.18,9.0,0.46,0.005,0.008,118.0,3.0,275.0,0.8,0.4,0.028,0.283,107.0
POINT (-114.87434 53.22235),9432,9069,53.22235,-114.87434,1201997,518.0,6.0,0.005,0.01,8.09,632.0,1200.0,0.05,645.0,0.8,0.137,0.01,484.0,165.0,178.0,3.8,56.3,3.34,0.01,101.0
POINT (-114.87619 53.22208),9431,10032,53.22208,-114.87619,1201993,550.0,7.0,0.005,0.01,8.35,658.0,744.0,0.05,79.0,1.6,0.066,0.01,114.0,21.2,268.0,2.0,6.3,0.33,0.01,99.0
POINT (-114.88042 53.22083),9437,8348,53.22083,-114.88042,1202017,293.0,17.0,0.005,0.01,8.75,17.0,576.0,2.06,0.9,154.0,0.005,0.13,11.0,0.2,234.0,0.4,0.2,0.1,0.01,98.0
POINT (-114.88037 53.21865),9438,12708,53.21865,-114.88037,1202021,415.0,6.0,0.005,0.01,8.2,506.0,514.0,0.05,371.0,0.7,0.093,0.48,81.8,89.2,54.8,2.2,36.1,1.3,0.01,98.0
POINT (-114.92857 53.099619),6162,5490,53.099619,-114.92857,1192111,442.0,34.0,0.009,0.017,8.6,408.0,610.0,0.89,144.0,16.9,0.036,0.002,96.1,29.8,202.0,1.6,16.8,0.201,0.017,113.0
POINT (-114.457052 52.717224),4251,3261,52.717224,-114.457052,1177031,396.0,5.0,0.05,0.05,7.4,483.0,378.0,0.1,313.0,0.5,0.0673,1.05,17.1,61.2,19.4,3.01,39.0,2.01,0.07,86.7
POINT (-114.380799 52.842944),9043,12439,52.842944,-114.380799,1184323,465.0,5.0,0.05,0.05,7.71,567.0,472.0,0.1,248.0,0.2,0.115,0.485,17.0,67.3,86.5,2.97,19.4,0.501,0.07,91.1
POINT (-114.394476 52.745352),13595,13595,52.745352,-114.394476,1215765,524.0,37.0,0.015,0.113,8.9,564.0,672.0,1.18,16.0,2.0,0.005,0.1,85.0,4.3,263.0,0.9,1.2,0.5,0.113,95.2
POINT (-114.391496 52.74716),13596,13596,52.74716,-114.391496,1215766,561.0,18.0,0.015,0.113,8.5,647.0,629.0,0.19,155.0,4.0,0.005,0.1,39.0,38.2,191.0,1.8,14.4,0.1,0.113,93.8
POINT (-114.39047 52.74094),13594,13594,52.74094,-114.39047,1215764,534.0,7.0,0.015,0.113,8.4,637.0,612.0,0.32,38.0,1.0,0.046,0.1,44.0,11.6,231.0,1.1,2.3,0.9,0.113,93.3
POINT (-114.394596 52.738168),13604,13604,52.738168,-114.394596,1215774,525.0,18.0,0.015,0.113,8.5,604.0,559.0,0.05,228.0,4.0,0.267,0.1,30.0,59.6,129.0,2.3,19.3,0.1,0.113,91.4
POINT (-114.443979 52.716663),4252,3233,52.716663,-114.443979,1177035,542.0,5.0,0.05,0.05,8.3,654.0,615.0,0.1,30.0,0.1,0.0475,0.03,44.8,8.22,233.0,1.07,2.23,0.099,0.07,92.3
POINT (-114.382579 52.737522),4253,8198,52.737522,-114.382579,1177043,510.0,17.0,0.05,0.05,8.6,588.0,667.0,0.7,7.0,2.2,0.005,0.03,88.8,2.16,266.0,0.7,0.28,0.03,0.07,96.4
POINT (-114.387125 52.731364),11740,7188,52.731364,-114.387125,1177011,508.0,5.0,0.05,0.05,8.3,610.0,658.0,0.3,8.0,1.5,0.0062,0.03,90.8,2.89,257.0,0.7,0.31,0.03,0.07,93.8
POINT (-114.387804 52.730659),10386,8897,52.730659,-114.387804,1177007,418.0,5.0,0.05,0.05,7.5,510.0,529.0,0.1,368.0,66.6,0.25,0.03,31.5,98.1,47.2,5.0,29.9,0.995,0.07,87.6
POINT (-114.38903 52.74164),13593,13593,52.74164,-114.38903,1215763,505.0,5.0,0.015,0.113,8.1,616.0,533.0,0.07,243.0,3.0,0.283,0.1,27.0,61.6,115.0,2.0,21.7,0.1,0.113,92.6
POINT (-114.329921 52.698364),1018,6161,52.698364,-114.329921,1184319,527.0,17.0,0.05,0.05,8.64,608.0,582.0,0.1,13.0,1.4,0.005,0.03,36.0,3.65,223.0,0.69,0.89,0.058,0.07,88.1
POINT (-114.294135 52.750826),5073,4345,52.750826,-114.294135,1185203,619.0,23.0,0.05,0.05,8.6,708.0,788.0,0.3,6.0,38.0,0.025,0.15,68.6,2.45,307.0,2.5,0.5,0.205,0.07,90.5
POINT (-114.308268 52.757174),4298,5203,52.757174,-114.308268,1177331,574.0,10.0,0.05,0.05,8.4,679.0,654.0,0.1,54.0,4.0,0.0135,0.03,52.8,14.3,232.0,1.67,4.36,0.03,0.07,88.4
POINT (-114.317954 52.806252),12514,12937,52.806252,-114.317954,1214941,440.0,0.5,0.003,0.043,7.89,540.0,450.0,0.12,340.0,2.0,0.3,0.98,13.0,90.0,49.0,2.9,27.0,1.0,0.043,98.0
POINT (-114.319034 52.805836),12517,6612,52.805836,-114.319034,1214953,390.0,0.5,0.003,0.007,7.77,480.0,400.0,0.06,330.0,2.0,0.2,0.06,12.0,87.0,34.0,3.0,28.0,4.6,0.007,100.0
POINT (-114.298814 52.813601),7155,7511,52.813601,-114.298814,1185019,533.0,24.0,0.05,0.5,8.6,602.0,631.0,0.1,18.0,2.0,0.01,0.05,50.0,4.9,250.0,0.5,1.3,0.08,0.5,95.2
POINT (-114.293257 52.769803),12960,12960,52.769803,-114.293257,1215131,410.0,0.5,0.003,0.03,7.64,500.0,430.0,0.06,340.0,3.0,0.18,0.77,21.0,82.0,43.0,2.9,33.0,0.82,0.03,100.0
POINT (-114.242846 52.799818),12769,9922,52.799818,-114.242846,1212621,500.0,29.0,0.003,0.11,8.79,550.0,580.0,0.23,4.6,1.0,0.004,0.06,43.0,1.5,230.0,0.5,0.2,0.06,0.11,92.0
POINT (-114.231228 52.800536),12768,11242,52.800536,-114.231228,1212617,490.0,22.0,0.003,0.003,8.64,550.0,580.0,0.22,29.0,2.0,0.011,0.06,45.0,6.9,230.0,0.7,3.0,0.08,0.003,98.0
POINT (-114.218085 52.802998),11767,12861,52.802998,-114.218085,1210937,400.0,0.5,0.003,0.28,7.84,490.0,414.0,0.1,300.0,2.0,0.004,0.08,13.0,57.0,56.0,5.0,38.0,0.1,0.28,100.0
POINT (-114.217451 52.803181),12909,12860,52.803181,-114.217451,1210933,460.0,0.5,0.003,12.0,7.83,560.0,623.0,0.07,580.0,62.0,0.004,0.1,18.0,160.0,10.0,3.1,46.0,0.12,12.0,100.0
POINT (-114.220151 52.810196),12519,10556,52.810196,-114.220151,1214961,400.0,0.5,0.003,0.021,7.68,490.0,390.0,0.09,360.0,2.0,0.023,0.5,12.0,78.0,11.0,2.3,41.0,0.52,0.021,94.0
POINT (-114.221474 52.815739),12654,11180,52.815739,-114.221474,1214977,430.0,0.5,0.003,0.85,7.75,530.0,460.0,0.12,240.0,3.0,0.054,0.06,25.0,54.0,82.0,2.1,25.0,0.06,0.85,90.0
POINT (-114.220434 52.814834),12521,10102,52.814834,-114.220434,1214969,460.0,0.5,0.003,0.93,7.96,570.0,510.0,0.2,170.0,3.0,0.004,0.06,36.0,42.0,130.0,1.6,17.0,0.06,0.93,89.0
POINT (-114.230725 52.781102),10388,3362,52.781102,-114.230725,1177039,382.0,10.0,0.05,0.05,8.5,447.0,466.0,0.1,5.0,0.2,0.005,0.03,17.1,1.55,217.0,0.51,0.27,0.03,0.07,119.0
POINT (-114.261323 52.756968),4297,3842,52.756968,-114.261323,1177323,442.0,5.0,0.05,0.05,8.1,540.0,539.0,0.1,122.0,2.3,0.0256,0.03,35.5,34.6,190.0,2.46,8.57,0.225,0.07,111.0
POINT (-114.175727 52.823982),13162,13162,52.823982,-114.175727,1215333,210.0,0.5,0.003,0.015,8.26,260.0,220.0,0.07,200.0,4.0,0.086,0.33,1.0,59.0,5.7,4.3,14.0,0.46,0.015,100.0
POINT (-114.17627 52.823608),13161,13161,52.823608,-114.17627,1215332,300.0,0.5,0.023,0.034,8.21,360.0,300.0,0.06,120.0,1.0,0.01,0.06,9.0,23.0,76.0,1.3,14.0,0.06,0.057,92.0
POINT (-114.192142 52.821962),13160,13160,52.821962,-114.192142,1215331,340.0,0.5,0.003,0.11,7.99,420.0,370.0,0.11,280.0,7.0,0.004,0.06,24.0,70.0,36.0,1.9,25.0,0.06,0.11,96.0
POINT (-114.196066 52.832533),12444,7754,52.832533,-114.196066,1214925,300.0,0.5,0.004,1.1,7.8,370.0,320.0,0.08,230.0,5.0,0.11,0.47,11.0,55.0,31.0,2.5,22.0,0.63,1.1,92.0
POINT (-114.195822 52.829173),12515,6957,52.829173,-114.195822,1214945,210.0,0.5,0.003,0.076,8.03,260.0,230.0,0.19,200.0,4.0,0.01,0.09,13.0,58.0,11.0,1.8,14.0,0.6,0.076,98.0
POINT (-114.194201 52.83221),12445,11537,52.83221,-114.194201,1214929,300.0,0.5,0.003,0.24,7.96,370.0,300.0,0.05,190.0,2.0,0.13,0.2,8.0,46.0,44.0,2.3,17.0,0.86,0.24,90.0
POINT (-114.194385 52.832583),12512,10454,52.832583,-114.194385,1214933,260.0,0.5,0.003,3.4,7.79,320.0,330.0,0.14,290.0,26.0,0.004,0.06,20.0,85.0,6.9,2.2,19.0,0.06,3.4,92.0
POINT (-114.073571 52.861589),12516,12268,52.861589,-114.073571,1214949,450.0,0.5,0.004,0.006,8.19,550.0,490.0,0.15,100.0,2.0,0.077,0.7,36.0,25.0,150.0,2.1,10.0,7.2,0.01,87.0
POINT (-114.073118 52.860597),12443,10715,52.860597,-114.073118,1214921,440.0,0.5,0.003,0.005,8.02,540.0,490.0,0.17,120.0,1.0,0.027,0.58,37.0,25.0,150.0,1.7,13.0,0.54,0.005,90.0
POINT (-114.07625 53.114108),12252,11219,53.114108,-114.07625,1211721,453.0,16.0,0.005,0.01,8.39,520.0,529.0,0.22,20.0,0.4,0.012,0.01,41.0,5.6,208.0,0.9,1.4,0.05,0.01,95.0
POINT (-114.073024 53.116747),12251,5583,53.116747,-114.073024,1211717,470.0,16.0,0.005,0.02,8.53,540.0,507.0,2.2,10.0,3.9,0.005,0.04,11.0,3.2,205.0,0.9,0.8,0.05,0.02,94.0
POINT (-114.081203 53.115922),12249,9476,53.115922,-114.081203,1211709,499.0,44.0,0.005,0.01,8.96,519.0,585.0,1.85,6.0,3.5,0.005,0.07,37.8,1.9,242.0,1.1,0.2,0.05,0.01,98.0
POINT (-114.09797 53.13279),13592,13592,53.13279,-114.09797,1215762,503.0,36.0,0.005,0.01,8.83,540.0,620.0,1.42,5.0,3.0,0.005,0.01,68.1,1.6,245.0,0.6,0.3,0.1,0.01,93.0
POINT (-114.073138 53.11725),12253,10846,53.11725,-114.073138,1211725,368.0,6.0,0.005,0.24,7.55,448.0,437.0,0.06,311.0,28.9,0.032,0.1,28.0,75.4,51.2,3.2,29.9,0.14,0.24,98.0
POINT (-114.078222 53.132179),13613,13613,53.132179,-114.078222,1215783,325.0,6.0,0.005,0.01,8.35,396.0,344.0,0.05,41.0,0.4,0.037,0.01,9.7,11.0,123.0,1.8,3.3,0.1,0.01,93.0
POINT (-114.143242 53.217728),12323,7498,53.217728,-114.143242,1211809,935.0,9.0,0.024,0.05,8.38,1120.0,1190.0,2.25,19.0,0.5,0.032,3.93,157.0,6.5,468.0,1.2,0.7,8.48,0.08,94.0
POINT (-114.146453 53.216798),12330,9477,53.216798,-114.146453,1211841,943.0,12.0,0.068,0.12,8.42,1120.0,1280.0,2.08,13.0,0.6,0.005,0.09,222.0,4.4,489.0,1.3,0.5,0.07,0.19,92.0
POINT (-114.16592 53.22247),16047,16047,53.22247,-114.16592,1219291,802.0,21.0,0.005,0.01,8.49,935.0,900.0,2.27,9.0,31.1,0.005,0.08,6.0,2.8,377.0,1.2,0.4,0.6,0.01,98.0
POINT (-114.16601 53.22059),12342,5586,53.22059,-114.16601,1211905,684.0,23.0,0.005,0.01,8.63,787.0,815.0,1.86,6.0,54.8,0.005,0.02,6.5,2.1,340.0,1.0,0.3,0.05,0.01,97.0
POINT (-114.17082 53.19564),12266,12879,53.19564,-114.17082,1211777,311.0,6.0,0.005,0.01,8.23,379.0,403.0,0.07,259.0,40.2,0.147,0.01,22.0,67.2,62.8,2.5,22.3,0.29,0.01,102.0
POINT (-114.171499 53.195949),12327,9605,53.195949,-114.171499,1211829,372.0,6.0,0.005,0.02,8.36,453.0,432.0,0.05,36.0,14.1,0.022,0.01,21.0,10.1,160.0,1.5,2.6,0.18,0.02,94.0
POINT (-114.198051 53.194993),12269,11859,53.194993,-114.198051,1211793,461.0,6.0,0.005,0.01,7.75,562.0,746.0,0.12,502.0,176.0,0.197,0.97,27.0,125.0,92.6,3.1,46.4,0.94,0.01,96.0
POINT (-114.196169 53.198029),12345,12182,53.198029,-114.196169,1211917,547.0,24.0,0.005,0.01,8.68,619.0,610.0,3.08,10.0,2.7,0.005,0.28,32.9,3.2,242.0,0.9,0.6,0.38,0.01,92.0
POINT (-114.19831 53.22257),15810,15810,53.22257,-114.19831,1219056,478.0,6.0,0.005,0.01,7.8,582.0,529.0,0.12,163.0,14.4,0.131,0.43,19.0,49.2,147.0,3.1,9.8,0.43,0.01,94.0
POINT (-114.19544 53.22987),15806,15806,53.22987,-114.19544,1219052,489.0,6.0,0.005,0.01,7.66,596.0,503.0,0.15,249.0,0.5,0.03,1.08,18.0,70.0,99.0,3.8,18.1,1.33,0.01,92.0
POINT (-114.171859 53.237639),12341,10466,53.237639,-114.171859,1211901,666.0,28.0,0.042,0.03,8.66,755.0,853.0,0.08,10.0,0.6,0.005,0.11,109.0,3.2,340.0,1.0,0.6,0.06,0.07,96.0
POINT (-114.171109 53.237449),12328,10596,53.237449,-114.171109,1211833,674.0,29.0,0.005,0.01,8.66,763.0,856.0,0.08,16.0,1.0,0.006,0.06,97.4,4.6,347.0,1.1,1.0,0.26,0.01,99.0
POINT (-114.17664 53.244949),12325,10595,53.244949,-114.17664,1211817,785.0,41.0,0.005,0.01,8.73,874.0,840.0,2.16,7.0,12.3,0.005,0.07,2.0,2.4,351.0,1.1,0.3,0.25,0.01,96.0
POINT (-114.219444 53.225555),7420,4867,53.225555,-114.219444,1217264,445.0,6.0,0.005,0.01,7.62,542.0,466.0,0.05,280.0,6.0,0.241,1.03,8.7,80.8,79.6,4.5,19.1,1.0,0.02,101.0
POINT (-114.220277 53.225),7422,10066,53.225,-114.220277,1217263,460.0,6.0,0.005,0.01,7.75,561.0,481.0,0.05,177.0,0.4,0.143,0.69,8.9,54.8,126.0,4.1,9.7,0.7,0.02,99.0
POINT (-114.20301 53.195283),12271,5585,53.195283,-114.20301,1211805,508.0,6.0,0.005,0.01,8.31,619.0,649.0,0.17,23.0,2.1,0.01,0.16,80.9,6.4,252.0,1.2,1.7,0.39,0.01,96.0
POINT (-114.450797 53.012476),6921,6335,53.012476,-114.450797,1216792,516.0,22.0,0.005,0.01,8.66,583.0,644.0,0.28,4.8,0.4,0.005,0.01,63.4,1.7,268.0,0.7,0.1,0.1,0.02,101.0
POINT (-114.450236 53.011607),9287,7525,53.011607,-114.450236,1216794,494.0,23.0,0.005,0.01,8.67,556.0,670.0,0.42,5.3,0.4,0.005,0.01,92.9,1.8,278.0,0.6,0.2,0.1,0.02,103.0
POINT (-114.459807 53.012416),6920,8682,53.012416,-114.459807,1216791,468.0,23.0,0.005,0.01,8.71,524.0,650.0,0.63,5.0,1.1,0.005,0.01,97.5,1.7,268.0,0.6,0.2,0.1,0.02,103.0
POINT (-114.459513 53.010231),6926,3972,53.010231,-114.459513,1217178,506.0,21.0,0.005,0.01,8.68,574.0,653.0,0.47,5.2,0.4,0.005,0.01,76.3,1.8,270.0,0.6,0.1,0.1,0.02,101.0
POINT (-114.07841 53.27724),14378,14378,53.27724,-114.07841,1217640,690.0,8.0,0.015,0.113,8.4,825.0,1010.0,1.25,19.0,4.0,0.02,0.1,192.0,6.3,390.0,0.6,0.9,0.1,0.113,96.6
POINT (-114.07533 53.2827),13620,13620,53.2827,-114.07533,1215790,431.0,5.0,0.015,0.113,7.9,525.0,502.0,0.08,457.0,8.0,0.616,0.2,53.0,126.0,17.2,4.4,34.5,13.3,0.113,101.0
POINT (-115.025116 53.675766),179,2532,53.675766,-115.025116,1156483,554.0,6.0,0.005,0.14,7.74,676.0,693.0,0.12,210.0,0.4,0.096,0.01,90.8,53.3,195.0,1.9,18.8,0.1,0.14,98.0
POINT (-115.025399 53.675866),180,2734,53.675866,-115.025399,1156477,547.0,6.0,0.005,0.01,8.27,667.0,760.0,0.29,53.0,0.4,0.027,0.02,130.0,14.3,281.0,1.2,4.2,0.1,0.02,97.0
POINT (-115.036566 53.670033),357,2017,53.670033,-115.036566,1156457,570.0,25.0,0.005,0.01,8.63,645.0,773.0,0.63,13.0,0.4,0.009,0.01,120.0,4.2,305.0,0.8,0.6,0.1,0.02,97.0
POINT (-116.221111 53.600277),5148,6748,53.600277,-116.221111,1216789,548.0,30.0,0.005,0.01,8.78,607.0,630.0,0.21,5.0,8.4,0.005,0.03,31.5,1.4,259.0,0.7,0.3,0.1,0.01,96.0
POINT (-116.12183 53.601361),2778,6887,53.601361,-116.12183,1156485,495.0,6.0,0.005,0.07,8.0,604.0,504.0,0.05,302.0,2.5,0.177,0.11,14.0,84.3,79.0,3.6,22.2,0.2,0.07,94.0
POINT (-116.11895 53.597618),8132,10241,53.597618,-116.11895,1216962,595.0,33.0,0.005,0.01,8.75,658.0,683.0,1.14,5.0,0.4,0.005,0.02,53.1,1.6,270.0,1.0,0.3,0.1,0.02,91.0
POINT (-116.136674 53.59896),157,2183,53.59896,-116.136674,1156449,546.0,6.0,0.005,0.01,8.11,665.0,560.0,0.05,182.0,5.5,0.275,1.0,7.0,52.4,152.0,2.9,12.3,4.5,0.02,93.0
POINT (-116.133635 53.598234),6925,10395,53.598234,-116.133635,1216790,644.0,35.0,0.005,0.01,8.77,714.0,686.0,0.09,5.0,1.0,0.006,0.03,18.0,1.7,277.0,0.8,0.2,0.1,0.02,92.0
POINT (-114.775791 54.18961),5592,9880,54.18961,-114.775791,1197183,600.0,7.6,0.003,0.003,8.5,710.0,670.0,1.8,3.1,5.3,0.004,0.07,33.0,1.3,270.0,0.7,0.2,0.08,0.003,92.0
POINT (-114.774383 54.18899),10528,4976,54.18899,-114.774383,1197187,510.0,0.5,0.003,0.009,8.0,620.0,600.0,0.69,53.0,6.2,0.082,0.66,38.0,17.0,220.0,1.7,2.9,0.52,0.009,96.0
POINT (-114.779315 54.202782),8598,12508,54.202782,-114.779315,1193759,510.0,0.5,0.004,0.007,8.1,620.0,590.0,0.81,27.0,0.9,0.01,0.28,48.0,8.6,230.0,1.2,1.2,1.1,0.011,93.0
POINT (-114.77195 54.210844),8866,8305,54.210844,-114.77195,1197191,580.0,0.5,0.008,0.008,7.9,710.0,660.0,0.1,64.0,6.9,0.019,0.21,39.0,22.0,240.0,1.7,2.5,2.1,0.003,92.0
POINT (-114.726338 54.181807),810,4000,54.181807,-114.726338,1183027,640.0,19.0,0.003,0.003,8.5,740.0,960.0,1.9,20.0,4.3,0.013,0.21,170.0,7.2,400.0,0.9,0.5,0.14,0.003,110.0
POINT (-114.722015 54.181815),9079,4003,54.181815,-114.722015,1183151,590.0,16.0,0.003,0.016,8.5,680.0,690.0,2.4,16.0,5.8,0.006,0.06,19.0,5.6,300.0,0.8,0.5,0.06,0.016,110.0
